bothWH;bothEH;MistakesSeasonCoding;CoastalNHEH;CoastalNHWH;CoastalSHEH;CoastalSHWH;CoastalBothEH;CoastalBothBoth
Calidris.bairdii;Anser.brachyrhynchus;Anthus.hoeschi;Larus.fuscus;Aechmophorus.occidentalis;Sterna.balaenarum;Chionis.albus;Gavia.arctica;Clangula.hyemalis
Catharus.minimus;Anthus.cervinus;Pitta.moluccensis;Larus.genei ;Aphriza.virgata;;Larus.modestus;Melanitta.nigra;Gavia.adamsii
Falco.columbarius;Anthus.gustavi;Sylvia.cantillans;Larus.ichthyaetus;Arenaria.melanocephala;;;Sterna.aleutica;Gavia.immer
Grus.canadensis;Calidris.ruficollis;Gallinago.nigripennis;Larus.melanocephalus;Larus.californicus;;;Larus.ridibundus;Gavia.pacifica
;Calidris.temminckii;;Phalacrocorax.aristotelis;Larus.pipixcan;;;Melanitta.fusca;Gavia.stellata
;Calidris.tenuirostris;;;Melanitta.perspicillata;;;;Larus.minutus
;Charadrius.hiaticula;;;;;;;Mergus.serrator
;Charadrius.mongolus;;;;;;;Pagophila.eburnea
;Eudromias.morinellus;;;;;;;Phalaropus.fulicarius
;Eurynorhynchus.pygmeus;;;;;;;Phalaropus.lobatus
;Larus.ridibundus;;;;;;;Polysticta.stelleri
;Limosa.lapponica;;;;;;;Somateria.spectabilis
;Luscinia.svecica;;;;;;;Sterna.hirundo
;Melanitta.fusca;;;;;;;Sterna.paradisaea
;Motacilla.alba;;;;;;;Xema.sabini
;Motacilla.flava;;;;;;;Aythya.marila
;Oenanthe.oenanthe;;;;;;;Larus.canus
;Phylloscopus.borealis;;;;;;;Larus.glaucoides
;Pluvialis.fulva;;;;;;;Podiceps.auritus
;Gavia.arctica;;;;;;;Podiceps.grisegena
;Melanitta.nigra;;;;;;;
;Sterna.aleutica;;;;;;;
